question_id,class,subject,chapter,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,ncert_reference,
SCI_C7_559,7,Science,Electricity,Components,Easy,MCQ,A group of two or more cells connected together is called a:,a) Fuse,b) Switch,c) Battery,d) Generator,c,A battery is a collection of electrochemical cells linked in series or parallel,Curiosity Ch 3,1
SST_C7_671,7,Social Science,New Beginnings: Cities and States,History,Medium,MCQ,A guild known as 'Manigramam' was prominent in which part of ancient India?,a) North India,b) South India,c) West India,d) East India,b,Manigramam was a powerful guild of traders in the southern region of the subcontinent,Exploring Society Ch 4,1
SCI_C7_701,7,Science,Earth Moon and the Sun,Eclipses,Medium,MCQ,A lunar eclipse occurs when:,a) Moon is between Sun and Earth,b) Earth is between Sun and Moon,c) Sun is between Earth and Moon,d) Moon blocks sunlight,b,Earth's shadow falls on the Full Moon obstructing the Sun's light,Curiosity Ch 12,1
SST_C7_708,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market held on a specific day of the week is a:,a) Shopping mall,b) Neighborhood shop,c) Weekly market,d) Wholesale hub,c,Weekly markets serve local needs without permanent shops,Exploring Society Ch 12,1
SST_C7_560,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market that is held on a specific day of the week is called a:,a) Shopping mall,b) Neighborhood shop,c) Weekly market,d) Wholesale hub,c,Weekly markets serve local needs and do not have permanent structures,Exploring Society Ch 12,1
SST_C7_477,7,Social Science,Understanding Markets,Economics,Medium,MCQ,A market where goods are sold in bulk to retailers is a:,a) Weekly market,b) Shopping mall,c) Wholesale market,d) Neighborhood shop,c,Wholesalers act as intermediaries between producers and small shopkeepers,Exploring Society Ch 12,1
SST_C7_498,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market where goods are sold in large quantities to retailers is a:,a) Weekly market,b) Shopping mall,c) Wholesale market,d) Neighborhood shop,c,Wholesale markets act as the link between producers and local retailers,Exploring Society Ch 12,1
MATH_C7_520,7,Mathematics,Number Play,Logic,Hard,MCQ,A number is divisible by 9 if its digit sum is a multiple of:,a) 3,b) 9,c) 2,d) 5,b,This is the standard divisibility rule for 9,Ganita Prakash Ch 6,1
MATH_C7_679,7,Mathematics,Number Play,Divisibility,Hard,MCQ,A number is divisible by 9 if the sum of its digits is a multiple of:,a) 3,b) 9,c) 2,d) 5,b,The divisibility rule for 9 states that the digit sum must be divisible by 9,Ganita Prakash Ch 6,1
SST_C7_568,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A person who buys goods from a wholesale market to sell them to consumers is a:,a) Producer,b) Retailer,c) Manufacturer,d) Farmer,b,Retailers act as the final link in the market chain,Exploring Society Ch 12,1
SST_C7_691,7,Social Science,Exploring Society,History,Easy,MCQ,A person who is skilled in making maps is known as a:,a) Calligrapher,b) Cartographer,c) Chronicler,d) Scribe,b,Cartography is the specialized science and art of map construction,Exploring Society Ch 4,1
SST_C7_269,7,Social Science,Tracing Changes,Cartography,Easy,MCQ,A person who makes maps is called a:,a) Calligrapher,b) Cartographer,c) Chronicler,d) Scribe,b,Cartography is the specialized study and practice of map-making. [7],,1
SST_C7_353,7,Social Science,Tracing Changes,Cartography,Easy,MCQ,A person who makes maps is known as a:,a) Calligrapher,b) Cartographer,c) Chronicler,d) Scribe,b,"Cartography is the specialized science and art of map construction.[4,5]",Our Pasts II Ch 1,1
SCI_C7_484,7,Science,Light: Shadows and Reflections,Physics,Easy,MCQ,A pinhole camera forms an image that is:,a) Upright and real,b) Inverted and real,c) Upright and virtual,d) Inverted and virtual,b,Light rays from the top and bottom cross through the pinhole; inverting the image,Curiosity Ch 11,1
SST_C7_645,7,Social Science,Tracing Changes,History,Easy,MCQ,A place where historical records and manuscripts are preserved is a/an:,a) Laboratory,b) Archive,c) Temple,d) Factory,b,Archives are essential for historians to study written documents from the past,Our Pasts II Ch 1,1
MATH_C7_552,7,Mathematics,Connecting the Dots,Quadrants,Medium,MCQ,A point where both x and y coordinates are negative lies in which quadrant?,a) Quadrant I,b) Quadrant II,c) Quadrant III,d) Quadrant IV,c,Quadrant III is the region where both the horizontal and vertical values are negative,Ganita Prakash Ch 13,1
MATH_C7_482,7,Mathematics,Connecting the Dots,Cartesian Plane,Medium,MCQ,A point with coordinates $(-3 5)$ lies in which quadrant?,a) Quadrant I,b) Quadrant II,c) Quadrant III,d) Quadrant IV,b,Quadrant II contains points where $x$ is negative and $y$ is positive,Ganita Prakash Ch 13,1
MATH_C7_407,7,Mathematics,Expressions using Letter-Numbers,Variables,Easy,MCQ,A quantity that can take various numerical values is called a:,a) Constant,b) Variable,c) Expression,d) Term,b,A variable is represented by a letter and does not have a fixed value.,Ganita Prakash I Ch 4,1
SST_C7_143,7,Social Science,Understanding Weather,Instruments,Easy,MCQ,A Rain Gauge is used to measure:,a) Wind speed,b) Rainfall,c) Humidity,d) Air pressure,b,A rain gauge is a meteorological instrument for determining the amount of precipitation in a set time.,,1
MATH_C7_678,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,A regular pentagon has a side length $s$. What is its perimeter?,a) $4s$,b) $5s$,c) $6s$,d) $s^2$,b,Perimeter of a regular polygon is number of sides multiplied by side length; $5 \times s$,Ganita Prakash Ch 4,1
MATH_C7_096,7,Mathematics,Data Handling,Visualisation,Medium,MCQ,A sector of a pie chart representing basketball covers $90^{\circ}$. What percentage is this?,a) $90\%$,b) $25\%$,c) $50\%$,d) $10\%$,b,A full circle is $360^{\circ}$. So $90/360 = 1/4 = 25\%$.,,1
SST_C7_485,7,Social Science,Understanding Markets,Civics,Medium,MCQ,A sequence of markets that connected between producer and consumer is:,a) Market chain,b) Market ring,c) Trade circle,d) Shopping line,a,The market chain involves multiple steps from factories to wholesalers to retailers,Exploring Society Ch 12,1
SST_C7_698,7,Social Science,Understanding Markets,Civics,Medium,MCQ,A sequence of markets that connects between producer and consumer is:,a) Market chain,b) Market ring,c) Trade circle,d) Shopping line,a,The market chain involves factories; wholesalers; and local retailers,Exploring Society Ch 12,1
SST_C7_733,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A shopping mall is found in which area?,a) Weekly fair,b) Rural village,c) Urban area,d) Farming land,c,Large enclosed multi-shop complex,Exploring Society Ch 12,1
MATH_C7_587,7,Mathematics,Connecting the Dots,Data Literacy,Easy,MCQ,A single number that summarizes a group of values is called a:,a) Constant,b) Representative value,c) Variable,d) Outlier,b,Representative values like mean or median describe the central tendency of data,Ganita Prakash Ch 13,1
SCI_C7_563,7,Science,Light: Shadows and Reflections,Physics,Medium,MCQ,A smooth polished surface which can reflect light is a:,a) Lens,b) Prism,c) Mirror,d) Screen,c,Mirrors are designed to reflect light to form images,Curiosity Ch 11,1
SCI_C7_501,7,Science,Earth Moon and the Sun,Eclipses,Medium,MCQ,A solar eclipse occurs when:,a) Earth is between Sun and Moon,b) Moon is between Sun and Earth,c) Sun is between Earth and Moon,d) Earth blocks sunlight,b,The Moon passes between the Sun and Earth; casting a shadow on Earth's surface,Curiosity Ch 12,1
SCI_C7_506,7,Science,Exploring Substances,pH,Medium,MCQ,A solution that does not change the color of either red or blue litmus is called:,a) Acidic,b) Basic,c) Neutral,d) Salty,c,Neutral solutions lack both acidic and basic properties and have a pH near 7,Curiosity Ch 2,1
SCI_C7_686,7,Science,Exploring Substances,Indicators,Medium,MCQ,A solution that does not change the color of red or blue litmus is:,a) Acidic,b) Basic,c) Neutral,d) Salty,c,Neutral substances like pure water have no effect on litmus indicators,Curiosity Ch 2,1
SCI_C7_716,7,Science,Exploring Substances,pH,Medium,MCQ,A substance that tastes bitter and feels soapy to touch is a:,a) Acid,b) Base,c) Neutral,d) Metal,b,Bases are characterized by their bitter taste and soapy texture,Curiosity Ch 2,1
SCI_C7_703,7,Science,Exploring Substances,pH,Medium,MCQ,A substance that tastes sour and turns blue litmus red is a:,a) Base,b) Acid,c) Neutral,d) Salt,b,Acids are defined by their low pH and reaction with blue litmus,Curiosity Ch 2,1
SST_C7_637,7,Social Science,Understanding Markets,Economics,Medium,MCQ,A trader who buys goods in bulk from a manufacturer and sells to retailers is a:,a) Consumer,b) Wholesaler,c) Farmer,d) Clerk,b,Wholesalers are the middlemen in the market chain before the final shop,Exploring Society Ch 12,1
SST_C7_683,7,Social Science,Understanding Markets,Economics,Medium,MCQ,A trader who buys goods in bulk to sell to retailers is a:,a) Consumer,b) Producer,c) Wholesaler,d) Agent,c,Wholesalers act as intermediaries in the market chain,Exploring Society Ch 12,1
MATH_C7_567,7,Mathematics,Geometric Twins,Triangles,Easy,MCQ,A triangle having two sides of equal length is called:,a) Scalene,b) Isosceles,c) Equilateral,d) Right,b,Isosceles triangles are defined by having at least two equal sides,Ganita Prakash II Ch 1,1
MATH_C7_719,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,A triangle with all angles measuring 60 degrees is:,a) Scalene,b) Isosceles,c) Equilateral,d) Right,c,In an equilateral triangle all sides and all angles are equal,Ganita Prakash II Ch 1,1
MATH_C7_683,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,A triangle with all three sides of equal length is called:,a) Isosceles,b) Equilateral,c) Scalene,d) Right,b,By definition an equilateral triangle is a regular polygon with three equal sides,Ganita Prakash II Ch 1,1
MATH_C7_735,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,A triangle with three equal sides is:,a) Isosceles,b) Equilateral,c) Scalene,d) Right,b,Regular polygon classification,Ganita Prakash II Ch 1,1
SCI_C7_017,7,Science,Exploring Substances,Indicators,Medium,MCQ,A turmeric stain on a white shirt turns reddish-brown when washed with soap because:,a) Soap is acidic,b) Soap is basic,c) Turmeric is a base,d) Turmeric is a soap,b,Turmeric is a natural indicator that reacts with basic substances like soap to change color.,Curiosity Ch 2,1
MATH_C7_380,7,Mathematics,A Peek Beyond the Point,Measurement,Medium,MCQ,A USB cable length is 4 and 8/10 units. How is this written as a decimal?,a) 4.08,b) 4.8,c) 0.48,d) 48.0,b,The expression '4 and 8/10' translates to $4 + 0.8 = 4.8$. ,Ganita Prakash Ch 3,1
ENG_C7_526,7,English,Rani Abbakka,History,Medium,MCQ,Abbakka fought against which power?,a) British,b) Portuguese,c) French,d) Dutch,b,Resisted naval control of coastal trade,Poorvi Unit 5,1
ENG_C7_741,7,English,Rani Abbakka,History,Medium,MCQ,Abbakka ruled coastal kingdom of:,a) Goa,b) Ullal,c) Mangalore,d) Kochi,b,Warrior queen from Karnataka,Poorvi Unit 5,1
ENG_C7_509,7,English,Three Questions,Ethics,Medium,MCQ,According to the hermit the most important affair to do in life is:,a) Gain wealth,b) Do good to people,c) Win wars,d) Live alone,b,The hermit teaches that our purpose on Earth is to do good to the person we are with,Honeycomb Unit 1,1
ENG_C7_261,7,English,Three Questions,Ethics,Medium,MCQ,According to the hermit the most important time for action is:,a) Tomorrow,b) Yesterday,c) Now,d) A week later,c,The hermit teaches that the present moment is the only time we have power to act.,,1
ENG_C7_495,7,English,Three Questions,Ethics,Medium,MCQ,According to the hermit the most important time for any action is:,a) Tomorrow,b) In the future,c) Now,d) Yesterday,c,The hermit teaches that the present is the only time we have the power to act,Honeycomb Unit 1,1
ENG_C7_085,7,English,Three Questions,Ethics,Medium,MCQ,According to the hermit the most important time is:,a) Tomorrow,b) Yesterday,c) Now,d) A week later,c,The hermit teaches that the present moment is the only time we have control over. [5],,1
ENG_C7_011,7,English,Three Questions,Theme,Medium,MCQ,According to the hermit what is the most important time for any action?,a) Tomorrow,b) Yesterday,c) Now,d) A week later,c,The hermit explains that 'Now' is the only time when we have the power to act.[8],Honeycomb Unit 1,1
ENG_C7_682,7,English,Three Questions,Ethics,Medium,MCQ,According to the hermit when is the most important time for any action?,a) Tomorrow,b) Yesterday,c) Now,d) Never,c,The hermit teaches that 'Now' is the only time we have the power to act,Honeycomb Unit 1,1
ENG_C7_677,7,English,Try Again,Moral,Easy,MCQ,According to the poem 'Try Again'; what should you do if you fail the first time?,a) Give up,b) Cry,c) Try again,d) Do nothing,c,The poem emphasizes the value of perseverance in reaching a goal,Poorvi Unit 1,1
MATH_C7_534,7,Mathematics,Operations with Integers,Inverses,Easy,MCQ,Additive inverse of 6 is:,a) -6,b) 0,c) 1,d) 1/6,a,Number that yields zero sum,NCERT Ch 1,1
SST_C7_523,7,Social Science,The Rise of Empires,History,Medium,MCQ,Advisor of Chandragupta Maurya was:,a) Ashoka,b) Kautilya,c) Megasthenes,d) Seleucus,b,Chanakya or Kautilya wrote the Arthashastra,Exploring Society Ch 5,1
SST_C7_763,7,Social Science,The Rise of Empires,History,Medium,MCQ,Advisor of Chandragupta Maurya:,a) Ashoka,b) Kautilya,c) Akbar,d) Shivaji,b,Political blueprinter for Mauryas,Exploring Society Ch 5,1
SCI_C7_739,7,Science,Heat Transfer in Nature,Physics,Hard,MCQ,Air movement from sea to land day is:,a) Sea breeze,b) Land breeze,c) Storm,d) Cyclone,a,Caused by differential heating of land and water,Curiosity Ch 7,1
MATH_C7_087,7,Mathematics,A Peek Beyond the Point,Decimals,Easy,MCQ,Among 0.9 1.1 1.01 and 1.11 which is closest to 1?,a) 0.9,b) 1.1,c) 1.01,d) 1.11,c,The distance from 1 to 1.01 is only 0.01 while 0.9 is 0.1 away.,,1
MATH_C7_558,7,Mathematics,Geometric Twins,Angles,Easy,MCQ,An angle measuring exactly $90^{\circ}$ is called a:,a) Acute angle,b) Obtuse angle,c) Right angle,d) Reflex angle,c,A right angle is the standard corner angle of a square or rectangle,Ganita Prakash II Ch 1,1
MATH_C7_714,7,Mathematics,Geometric Twins,Angles,Easy,MCQ,An angle measuring exactly 90 degrees is a:,a) Acute angle,b) Right angle,c) Obtuse angle,d) Reflex angle,b,A right angle is the standard corner angle of a square,Ganita Prakash II Ch 1,1
SCI_C7_729,7,Science,Electricity,Circuit,Easy,MCQ,An electric switch is used to:,a) Open or Close circuit,b) Produce electricity,c) Measure current,d) Heat wires,a,Basic functional component for circuit control,Curiosity Ch 3,1
SST_C7_393,7,Social Science,Geographical Diversity of India,Landforms,Easy,MCQ,An elevated landform with a flat surface and steep sides is a:,a) Mountain,b) Plateau,c) Valley,d) Delta,b,A plateau is a highland area with a flat top much like a tableland. ,Exploring Society Ch 1,1
SST_C7_644,7,Social Science,Tracing Changes,History,Medium,MCQ,An empire that stretches across several different regions is called:,a) Regional empire,b) Pan-regional empire,c) Local kingdom,d) Nomad camp,b,Empires like the Mauryas and Guptas are examples of pan-regional rule,Our Pasts II Ch 1,1
MATH_C7_023,7,Mathematics,Geometric Twins,Triangles,Easy,MCQ,An equilateral triangle has _____ equal sides.,a) 1,b) 2,c) 3,d) 0,c,"An equilateral triangle is defined by having all three sides equal in length.""",Ganita Prakash Ch 9,1
MATH_C7_205,7,Mathematics,Geometric Twins,Triangles,Easy,MCQ,An equilateral triangle is a triangle with:,a) Two equal sides,b) One side equal,c) Three equal sides,d) No equal sides,c,By definition an equilateral triangle is a regular polygon with three sides of equal length.,Ganita Prakash II Ch 1,1
SCI_C7_146,7,Science,Light: Shadows and Reflections,Materials,Medium,MCQ,An object that allows only some light to pass through is called:,a) Opaque,b) Transparent,c) Translucent,d) Luminous,c,Translucent materials scatter light so objects cannot be seen clearly through them.,,1
SCI_C7_500,7,Science,Light: Shadows and Reflections,Physics,Easy,MCQ,An object that does not allow any light to pass through is:,a) Transparent,b) Translucent,c) Opaque,d) Luminous,c,Opaque materials block all light and form dark shadows,Curiosity Ch 11,1
SCI_C7_570,7,Science,Wastewater Story,Sanitation,Medium,MCQ,Anaerobic bacteria break down sludge to produce:,a) Biogas,b) Oxygen,c) Chlorine,d) Silt,a,Biogas is a useful fuel byproduct of sewage treatment,Curiosity Ch 13,1
SCI_C7_750,7,Science,Life Processes in Animals,Respiration,Medium,MCQ,Anaerobic muscle respiration produces:,a) Alcohol,b) Lactic acid,c) Carbonic acid,d) Citric acid,b,Occurs during heavy exercise when oxygen is low,Curiosity Ch 9,1
SCI_C7_558,7,Science,Life Processes in Animals,Respiration,Medium,MCQ,Anaerobic respiration in muscle cells produces:,a) Alcohol,b) Lactic acid,c) Carbonic acid,d) Citric acid,b,During heavy exercise muscles break down glucose without oxygen; producing lactic acid,Curiosity Ch 9,1
MATH_C7_764,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,Angles sum of triangle is:,a) 90,b) 180,c) 360,d) 270,b,Standard geometric theorem,Ganita Prakash II Ch 1,1
ENG_C7_529,7,English,Three Questions,Theme,Medium,MCQ,Answers to three questions ensure:,a) Wealth,b) No failure,c) Many friends,d) Long life,b,Belief of the king in the story,Honeycomb Unit 1,1
ENG_C7_724,7,English,The Tiny Teacher,Life Cycle,Easy,MCQ,Ant young ones are called:,a) Grubs,b) Larva,c) Puppies,d) Kittens,a,Specific term for ant larvae in the textbook,An Alien Hand Unit 1,1
SCI_C7_148,7,Science,Exploring Substances,Neutralization,Easy,MCQ,Antacids like Milk of Magnesia are used to treat:,a) Headache,b) Fever,c) Acidity,d) Body pain,c,Milk of Magnesia is basic and neutralizes excess hydrochloric acid in the stomach. [2],,1
SCI_C7_517,7,Science,Exploring Substances,Neutralization,Medium,MCQ,Antacids like Milk of Magnesia contain which base?,a) Sodium hydroxide,b) Magnesium hydroxide,c) Calcium carbonate,d) Zinc oxide,b,Magnesium hydroxide neutralizes excess stomach acid,Curiosity Ch 2,1
SCI_C7_710,7,Science,Exploring Substances,Neutralization,Medium,MCQ,Antacids like Milk of Magnesia contain which basic chemical?,a) Magnesium hydroxide,b) Sodium chloride,c) Calcium oxide,d) Zinc sulphate,a,Magnesium hydroxide neutralizes excess hydrochloric acid in the stomach,Curiosity Ch 2,1
ENG_C7_513,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants communicate by touching their:,a) Legs,b) Eyes,c) Feelers,d) Wings,c,Feelers (antennae) are the primary tools for message exchange in ants,An Alien Hand Unit 1,1
ENG_C7_544,7,English,The Tiny Teacher,Behavior,Easy,MCQ,Ants communicate by touching:,a) Legs,b) Feelers,c) Eyes,d) Wings,b,Means of passing messages,An Alien Hand Unit 1,1
ENG_C7_683,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants communicate with each other by touching their:,a) Legs,b) Eyes,c) Feelers,d) Wings,c,Ants use their antennae or feelers to pass messages and identify members,An Alien Hand Unit 1,1
ENG_C7_733,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants greet by touching their:,a) Legs,b) Feelers,c) Eyes,d) Wings,b,Primary method for colony signaling,An Alien Hand Unit 1,1
ENG_C7_539,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants greeting method is touching:,a) Feelers,b) Legs,c) Heads,d) Wings,a,Chemical and tactile interaction,An Alien Hand Unit 1,1
ENG_C7_728,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants pass messages by touching their:,a) Feelers,b) Legs,c) Heads,d) Wings,a,Primary communication method in ant colonies,An Alien Hand Unit 1,1
ENG_C7_145,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants pass messages to each other by touching their:,a) Legs,b) Wings,c) Feelers,d) Eyes,c,Feelers (antennae) are the primary tools for chemical and tactile communication in ants. [6],,1
ENG_C7_759,7,English,The Tiny Teacher,Behavior,Easy,MCQ,Ants pass signals by touching:,a) Legs,b) Feelers,c) Eyes,d) Wings,b,Means of message exchange in colony,An Alien Hand Unit 1,1
ENG_C7_764,7,English,The Tiny Teacher,Behavior,Easy,MCQ,Ants signaling by touching:,a) Legs,b) Feelers,c) Eyes,d) Wings,b,Means of interaction in colony,An Alien Hand Unit 1,1
ENG_C7_533,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants touch feelers to:,a) Fight,b) Greet and talk,c) Dance,d) Sleep,b,Communication method in colonies,An Alien Hand Unit 1,1
ENG_C7_528,7,English,The Tiny Teacher,Communication,Easy,MCQ,Ants use feelers to:,a) Fight,b) Greet and talk,c) Run,d) Fly,b,Primary method of sharing messages,An Alien Hand Unit 1,1
SST_C7_532,7,Social Science,Constitution of India,Governance,Medium,MCQ,Architect of Constitution was:,a) Nehru,b) Gandhi,c) B.R. Ambedkar,d) Prasad,c,He led the Drafting Committee,Exploring Society Ch 10,1
SST_C7_764,7,Social Science,Constitution of India,Governance,Medium,MCQ,Architect of Constitution:,a) Nehru,b) Gandhi,c) B.R. Ambedkar,d) Prasad,b,Drafting Committee team leader,Exploring Society Ch 10,1
SST_C7_759,7,Social Science,Constitution of India,Governance,Medium,MCQ,Architect of the Constitution:,a) Nehru,b) Gandhi,c) B.R. Ambedkar,d) Prasad,b,Leader of the Drafting Committee,Exploring Society Ch 10,1
MATH_C7_528,7,Mathematics,Working with Fractions,Operations,Hard,MCQ,Area of rectangle with sides 15/4 and 48/5 is:,a) 36,b) 32,c) 27,d) 40,a,Multiply: $15/4 \times 48/5 = 720/20 = 36$,Ganita Prakash Ch 8,1
SST_C7_754,7,Social Science,Exploring Society,Civics,Hard,MCQ,Article 17 abolished what practice?,a) Child labor,b) Untouchability,c) Sati,d) Dowry,b,Constitutional social reform,Exploring Society Ch 10,1
SST_C7_540,7,Social Science,Constitution of India,Rights,Hard,MCQ,Article 17 abolished what?,a) Taxes,b) Untouchability,c) Slavery,d) Child labor,b,Key social reform in the Constitution,Exploring Society Ch 10,1
SST_C7_740,7,Social Science,Constitution of India,Rights,Hard,MCQ,Article 17 abolished which evil?,a) Slavery,b) Untouchability,c) Child labor,d) Sati,b,Ensures social dignity in the Constitution,Exploring Society Ch 10,1
SST_C7_635,7,Social Science,The Constitution of India,Rights,Hard,MCQ,Article 17 of the Indian Constitution abolished which social evil?,a) Child labor,b) Untouchability,c) Sati,d) Dowry,b,This article was included to ensure social equality and dignity for all,Exploring Society Ch 10,1
SST_C7_527,7,Social Science,Constitution of India,Rights,Hard,MCQ,Article abolishing untouchability is:,a) 14,b) 15,c) 17,d) 21,c,Ensures social equality in India,Exploring Society Ch 10,1
ENG_C7_751,7,English,Three Questions,Theme,Medium,MCQ,Author of 'Three Questions' is:,a) Ruskin Bond,b) Leo Tolstoy,c) Henry James,d) Wordsworth,b,Russian writer of the ethical parable,Honeycomb Unit 1,1
ENG_C7_750,7,English,Golu Grows a Nose,Fable,Medium,MCQ,Baby elephant Golu was full of:,a) Food,b) Anger,c) Questions,d) Sleep,c,Theme of natural curiosity,An Alien Hand Unit 3,1
